Australian Bureau of Statistics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,,,,,,,,,,,,
SA2 (UR) by HEAP - 1 Digit Level by CITP Australian Citizenship,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,
CITP Australian Citizenship,Australian,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SA2 (UR),Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total,pop,bach.count,bach
Middle Ridge,307,133,934,452,719,1625,0,298,124,392,1374,6364,4598,1374,29.88255763
Sandgate - Shorncliffe,264,185,882,464,737,1457,3,337,117,372,1090,5913,4451,1331,29.9033925
Lennox Head - Skennars Head,292,174,1139,627,991,1549,4,368,224,168,1397,6932,5367,1605,29.90497485
Peregian Beach - Marcus Beach,144,84,549,317,508,797,0,105,97,73,631,3302,2598,777,29.90762125
No Usual Address (ACT),32,12,55,27,47,133,0,22,5,14,26,371,331,99,29.90936556
Highton,796,556,3129,1771,2443,4871,0,965,419,577,3863,19388,14948,4481,29.97725448
Western,0,0,9,0,6,11,0,0,0,23,6,59,30,9,30
Kenny,0,0,3,0,0,3,0,0,0,0,0,10,10,3,30
Rouse Hill - Beaumont Hills,925,272,2995,1705,2226,4518,6,803,516,365,5328,19660,13967,4192,30.01360349
Spence,125,60,357,213,290,584,0,117,62,50,519,2371,1802,542,30.07769145
Croydon Park - Enfield,770,244,2306,1088,1414,3579,9,1028,583,485,2700,14201,11016,3320,30.13798112
Burwood East,416,165,1280,611,685,2026,0,695,280,309,1230,7708,6169,1861,30.16696385
Karana Downs,264,143,816,530,775,1270,0,141,108,84,1322,5456,4050,1223,30.19753086
Moorabbin - Heatherton,291,170,1151,598,749,1727,4,438,209,172,1510,7017,5335,1612,30.21555764
Ringwood East,777,542,2693,1565,2202,4067,5,987,431,530,3455,17262,13277,4012,30.21766965
Trevallyn,200,111,659,336,572,1049,0,201,88,114,820,4140,3206,970,30.25577043
Tiwi,87,57,284,116,266,409,0,126,54,136,398,1947,1413,428,30.29016277
Carina,363,248,1585,817,1116,2443,3,455,200,377,1682,9301,7242,2196,30.32311516
Kambah,671,440,2052,1203,1560,3427,7,673,376,289,2728,13431,10414,3163,30.37257538
Stuart Park,131,87,477,237,507,695,0,102,63,84,413,2785,2288,695,30.37587413
Hamilton - Broadmeadow,509,242,1827,811,1400,2569,10,815,303,428,1709,10612,8475,2578,30.41887906
Warrandyte - Wonga Park,407,253,1507,815,1168,2295,0,462,214,216,1746,9082,7120,2167,30.43539326
Berowra - Brooklyn - Cowan,550,238,1623,967,1437,2321,6,419,356,250,2425,10587,7912,2411,30.4726997
Bayswater - Embleton - Bedford,749,493,3105,1498,2289,4649,9,979,491,768,3525,18556,14263,4347,30.47745916
East Side,213,138,517,248,519,861,4,247,104,146,817,3811,2848,868,30.47752809
Byron Bay,295,169,1297,658,1043,1780,4,302,216,265,1130,7156,5761,1761,30.56760979
Northgate - Virginia,210,168,926,428,758,1397,0,254,117,120,1019,5400,4261,1304,30.6031448
Sunnybank,317,114,899,400,583,1522,3,323,171,120,871,5320,4329,1330,30.72303072
Point Cook - North,970,319,2305,1353,1717,3881,9,763,384,354,5392,17440,11694,3594,30.73370959
Katoomba - Leura,712,317,1704,1130,1459,2568,9,610,383,590,1742,11221,8889,2733,30.74586568
Mordialloc - Parkdale,767,547,2717,1604,1958,4109,4,942,462,507,3492,17102,13103,4031,30.76394719
Ngunnawal,510,255,1311,756,1087,2262,4,366,195,140,2165,9050,6745,2076,30.77835434
Bulleen,513,203,1582,727,853,2333,5,969,297,379,1508,9352,7465,2298,30.78365707
Wishart,425,229,1424,737,959,2358,4,414,203,277,1804,8829,6748,2078,30.79430943
McDowall,320,183,1086,599,779,1804,4,222,169,135,1434,6727,5158,1589,30.80651415
Leeming,390,247,1647,865,1078,2569,0,334,256,154,1618,9171,7399,2284,30.86903636
Dee Why - North Curl Curl,918,348,3220,1900,2345,4269,23,782,648,436,3656,18546,14454,4486,31.03639131
Carina Heights,255,150,966,481,727,1417,4,300,128,117,953,5486,4416,1371,31.04619565
Macgregor (ACT),360,149,863,513,796,1440,0,175,131,82,1561,6062,4419,1372,31.04774836
Cannon Hill,211,119,757,352,624,1116,0,236,84,130,963,4586,3493,1087,31.11938162
North Coogee,91,45,333,208,281,450,0,50,49,49,296,1851,1506,469,31.14209827
Lilli Pilli - Port Hacking - Dolans Bay,157,52,508,307,390,669,0,119,92,44,608,2951,2299,717,31.18747281
Glenhaven,274,124,1002,615,617,1387,0,255,211,178,1079,5737,4480,1400,31.25
Freshwater - Stratford,134,80,525,269,502,670,0,110,78,77,653,3092,2362,739,31.28704488
Bangalow,205,102,820,477,598,1062,3,204,115,184,941,4713,3588,1127,31.41025641
South Hurstville - Blakehurst,991,234,3106,1513,1515,4644,6,1085,702,502,3556,17845,13787,4331,31.41365054
Wanniassa,373,218,1066,604,768,1736,7,312,190,155,1356,6783,5272,1657,31.43019727
Bentleigh East (South),484,300,1939,991,1168,2756,3,750,277,337,2427,11426,8662,2723,31.43615793
Mortdale - Penshurst,1156,310,3129,1503,2011,4631,7,1168,683,510,3637,18745,14598,4595,31.47691465
Blackheath - Megalong Valley,305,140,771,465,670,1096,8,250,149,140,814,4810,3856,1216,31.53526971
Bayview - Elanora Heights,506,185,1569,1001,1065,2143,3,335,365,360,1814,9333,7159,2260,31.56865484
Middle Park - Jamboree Heights,318,162,1027,540,764,1601,0,191,160,97,1249,6113,4767,1507,31.6131739
Oakleigh - Huntingdale,887,400,2587,1171,1627,3657,17,1369,540,529,2974,15756,12253,3874,31.61674692
Oatlands - Dundas Valley,840,213,2321,1129,1378,3539,7,757,483,388,2958,14016,10670,3374,31.62136832
Blaxland - Warrimoo - Lapstone,991,501,2752,1644,2471,3789,8,721,520,387,3690,17481,13404,4244,31.66219039
Preston - East,817,461,2568,1189,1493,3592,18,1436,571,595,2479,15210,12136,3846,31.69083718
Enoggera,330,205,1258,573,896,2052,3,236,111,176,1247,7078,5655,1793,31.70645447
Wollongong - East,621,280,1937,896,1484,2665,8,621,412,390,743,10066,8933,2838,31.76984216
Pascoe Vale South,407,268,1451,644,858,2129,0,699,223,184,1816,8684,6684,2126,31.80730102
Flynn (ACT),181,103,471,283,362,764,0,135,74,60,677,3110,2373,755,31.81626633
Hall,19,14,30,22,37,70,0,10,6,3,54,255,198,63,31.81818182
Torquay,633,487,2762,1591,2188,3517,11,679,313,447,3914,16541,12180,3882,31.87192118
Strathfield South,176,59,503,253,280,805,0,156,88,84,559,2957,2314,738,31.89282627
Kuraby,366,102,1043,432,574,1674,4,337,201,129,1568,6426,4729,1511,31.95178685
Frenchs Forest - Belrose,1163,433,3710,2239,2193,5107,4,911,842,606,5069,22270,16595,5306,31.97348599
Montmorency - Briar Hill,710,531,2393,1328,1964,3325,6,791,317,407,2798,14568,11363,3634,31.98099094
Macgregor (Qld),230,73,623,258,354,1040,7,185,120,112,536,3539,2891,926,32.03043929
Evatt,276,151,727,390,540,1158,3,228,113,103,992,4682,3587,1154,32.17173125
Forest Hill,447,234,1458,752,792,2042,5,651,260,293,1584,8504,6627,2139,32.27704844
Pendle Hill - Girraween,750,117,1276,657,756,2074,6,665,329,375,2338,9339,6626,2143,32.34228796
Wentworth Falls,358,161,859,533,700,1180,6,265,201,209,947,5416,4260,1378,32.34741784
Melbourne Airport,3,0,19,6,16,24,0,3,0,8,10,86,68,22,32.35294118
Viewbank - Yallambie,870,485,2588,1331,1862,3659,7,1002,364,515,3258,15947,12174,3943,32.38869722
Lorne - Anglesea,198,144,823,469,636,1000,3,223,115,208,678,4481,3595,1165,32.40611961
Ballarat,553,414,1787,916,1174,2640,4,797,211,345,1823,10663,8495,2754,32.41907004
Glen Forrest - Darlington,311,226,1024,600,804,1474,0,202,163,159,1285,6254,4810,1561,32.45322245
Acacia Gardens,172,51,543,250,383,754,0,132,83,61,809,3230,2360,766,32.45762712
Vermont South,572,243,1705,809,823,2617,4,698,294,234,1521,9512,7757,2520,32.48678613
Doncaster East (South),583,227,1848,894,912,2530,3,803,378,403,1895,10478,8180,2658,32.49388753
Wickham - Carrington - Tighes Hill,375,171,1329,596,1066,1604,10,444,169,223,1110,7094,5761,1875,32.54643291
New Town,276,171,902,380,588,1266,4,422,136,168,802,5114,4144,1349,32.5530888
Darwin City,215,104,643,335,635,829,0,100,80,115,305,3369,2949,962,32.62122753
Willetton,724,313,2405,1143,1431,3632,7,561,329,311,2884,13746,10551,3442,32.62250024
Mentone,530,354,1941,994,1218,2660,0,625,330,351,1851,10856,8654,2825,32.64386411
Kellyville,1146,330,3290,1761,2000,4643,5,785,626,356,5044,19984,14584,4766,32.67964893
Point Cook - East,469,169,1245,719,830,1860,8,281,186,124,2457,8340,5759,1883,32.69664872
Fremantle - South,648,342,2093,859,1388,2878,3,853,347,444,2050,11909,9415,3083,32.74561869
Coburg North,324,215,963,432,575,1324,5,560,194,235,1198,6019,4586,1502,32.75185347
Kogarah,491,98,1221,591,652,1764,0,431,265,241,1446,7212,5525,1810,32.760181
Bridgeman Downs,416,169,1280,638,749,1969,6,312,161,174,1407,7269,5688,1865,32.7883263
Asquith - Mount Colah,931,364,2721,1523,1995,3554,7,558,580,336,3632,16208,12240,4016,32.81045752
Mount Eliza,742,464,2655,1570,1646,3660,8,615,391,494,3423,15663,11746,3861,32.87076452
Bellevue Heights,368,192,1062,526,707,1687,0,246,147,159,884,5973,4930,1622,32.90060852
Florey,267,139,666,261,414,1154,5,258,103,92,753,4101,3256,1072,32.92383292
Wakerley,354,152,1175,636,859,1633,0,162,134,104,2361,7568,5103,1681,32.94140702
Yokine - Coolbinia - Menora,573,350,2358,1053,1352,3204,3,708,345,449,1990,12386,9947,3281,32.98481954
Vermont,479,229,1457,796,881,2013,4,455,236,230,1938,8724,6556,2165,33.02318487
Parap,103,68,327,179,290,421,0,58,45,44,387,1939,1508,498,33.02387268
Burwood,490,210,1360,625,620,2147,0,564,222,248,1162,7647,6237,2060,33.0286997
Wavell Heights,363,231,1556,724,1067,2009,0,373,177,203,1939,8650,6508,2150,33.03626306
Sorrento - Marmion,369,247,1594,816,966,2205,4,255,229,225,1575,8489,6689,2210,33.03931828
Brinkin - Nakara,154,73,365,166,293,549,0,121,57,69,471,2325,1785,592,33.16526611
Strathmore,361,278,1531,704,907,2128,5,448,197,272,1745,8559,6542,2170,33.17028432
Duncraig,588,392,2373,1242,1505,3208,4,439,350,304,2926,13328,10098,3353,33.20459497
Oxley (Qld),318,182,1089,474,743,1525,0,273,163,156,1418,6356,4782,1589,33.22877457
Colonel Light Gardens,613,443,2474,1119,1541,3382,6,713,339,375,2858,13855,10622,3530,33.23291282
Wheelers Hill,1016,382,2890,1349,1434,4086,4,1219,499,650,2661,16179,12868,4288,33.32297171
Maribyrnong,503,242,1723,768,910,2413,6,533,300,175,1568,9145,7402,2468,33.34233991
Avalon - Palm Beach,608,258,1984,1200,1191,2588,0,331,378,292,2076,10913,8545,2850,33.35283792
Toowoomba - East,487,270,1453,702,1015,2081,3,405,178,271,1700,8571,6600,2210,33.48484848
Amaroo,315,174,742,446,562,1126,4,194,115,75,1411,5162,3676,1231,33.4874864
Woodend,314,241,953,506,749,1286,3,300,132,208,1308,6005,4489,1508,33.59322789
Newport - Bilgola,613,262,2168,1293,1404,2568,0,322,399,290,2406,11730,9034,3043,33.68386097
Ryde,1393,340,3555,1716,1969,4787,13,1140,753,649,3872,20201,15680,5288,33.7244898
Nundah,501,251,1858,852,1221,2512,5,324,199,213,1258,9202,7731,2610,33.76018626
Mount Gravatt,621,337,2248,943,1450,3006,9,607,270,336,2401,12224,9487,3206,33.79361231
Mitchelton,373,211,1293,623,853,1713,3,341,137,181,1652,7383,5550,1877,33.81981982
Bentleigh East (North),639,324,2165,1018,1167,2808,4,801,326,347,2832,12427,9248,3128,33.82352941
Fraser,103,72,310,175,201,445,0,78,44,35,397,1865,1433,485,33.84508025
Calamvale - Stretton,1007,230,2488,1089,1362,3890,0,559,392,319,3420,14743,11004,3725,33.85132679
Tuart Hill - Joondanna,410,226,1766,749,1081,2097,3,493,270,272,1299,8665,7094,2402,33.85959966
Canterbury (North) - Ashbury,591,211,1436,690,819,1882,8,635,335,182,1575,8363,6606,2238,33.87829246
Coromandel Valley,215,124,670,370,506,887,3,111,95,60,842,3878,2976,1009,33.90456989
Townsville City - North Ward,411,185,1427,562,1011,1903,4,291,162,157,877,6988,5954,2023,33.97715821
Donvale - Park Orchards,664,413,2602,1188,1328,3399,4,843,380,463,2610,13897,10824,3679,33.98928307
Templestowe Lower,624,306,2074,964,1013,2592,4,876,386,429,2072,11335,8834,3004,34.00498076
Melville,641,380,2660,1228,1502,3412,3,592,387,469,2982,14254,10803,3681,34.07386837
Concord - Mortlake - Cabarita,1171,381,3403,1597,1808,4241,3,1150,778,444,3378,18354,14532,4955,34.09716488
Flinders,275,154,879,489,559,1140,4,193,142,211,761,4807,3835,1308,34.10691004
Samford Valley,569,313,1845,995,1276,2451,0,301,243,227,2269,10484,7988,2727,34.13870806
Bicton - Palmyra,521,388,2213,1013,1377,2785,5,507,327,354,2194,11683,9135,3122,34.17624521
Carindale,824,379,2530,1111,1281,3768,6,661,360,342,2392,13644,10910,3733,34.21631531
Baulkham Hills (East),1266,363,3168,1629,2002,4142,4,830,605,623,4462,19089,14004,4797,34.25449871
Doncaster East (North),732,297,2251,1014,953,3166,0,789,369,292,1989,11854,9573,3280,34.26303144
Nunawading,484,306,1660,783,952,2084,3,605,259,254,1895,9294,7145,2450,34.28971309
Mount Dandenong - Olinda,472,361,1449,899,1098,1809,4,360,207,180,1655,8490,6655,2282,34.29000751
Doncaster,976,382,2932,1294,1286,3810,6,1267,565,527,2299,15333,12507,4290,34.30079156
Nailsworth - Broadview,261,143,1001,431,554,1310,0,263,138,117,935,5145,4093,1405,34.32689958
Maroubra - South,562,163,1479,670,821,1957,4,479,276,311,1523,8236,6402,2204,34.42674164
Victoria Park - Lathlain - Burswood,576,292,1896,944,1204,2516,0,328,248,238,1444,9688,8006,2764,34.52410692
Eltham,1158,770,3615,1859,2423,4885,4,889,446,385,4278,20703,16040,5543,34.55735661
Eight Mile Plains,738,218,1795,752,963,2755,0,471,263,252,2121,10325,7952,2751,34.59507042
Casey,329,147,753,494,583,1034,7,120,96,42,1343,4936,3551,1229,34.60996902
Launceston,252,112,824,325,478,1105,0,203,118,112,628,4168,3428,1188,34.65577596
Point Lonsdale - Queenscliff,207,141,705,438,366,846,0,223,113,167,494,3699,3038,1053,34.66096116
Prospect,671,374,2265,929,1301,3000,3,677,315,272,2177,11998,9549,3310,34.66331553
Glenwood,964,176,2361,1070,1227,3336,6,541,413,239,3466,13801,10096,3501,34.67709984
East Victoria Park - Carlisle,573,332,2247,846,1375,2877,7,504,318,434,2062,11569,9073,3152,34.74043866
Bellbowrie - Moggill,533,203,1472,789,922,2029,4,228,168,144,2065,8559,6350,2208,34.77165354
Blackburn South,516,300,1565,748,779,2011,3,629,275,361,1801,8984,6822,2381,34.90178833
Templestowe,863,367,2720,1112,1212,3646,7,908,466,508,2271,14094,11315,3950,34.90941228
North Rocks,479,143,1216,642,671,1505,0,327,253,143,1482,6863,5238,1838,35.0897289
Palmerston,374,162,756,382,494,1187,4,210,110,92,968,4740,3680,1292,35.10869565
Innaloo - Doubleview,583,436,2570,1022,1583,3102,3,592,319,514,2144,12866,10208,3589,35.15869906
North Parramatta,1141,273,2655,1259,1303,3527,5,752,648,462,2742,14773,11569,4069,35.17157922
Rochedale - Burbank,325,106,882,359,496,1252,0,193,111,95,1212,5038,3731,1313,35.19163763
Cheltenham - Highett (West),490,312,1697,881,887,2064,5,542,221,250,2059,9410,7101,2499,35.19222645
Manly Vale - Allambie Heights,774,342,2526,1272,1504,2929,5,531,465,391,3603,14330,10336,3642,35.23606811
Uraidla - Summertown,326,142,906,396,562,1218,0,210,119,99,935,4925,3891,1374,35.31225906
Greenway,99,52,293,146,162,391,0,66,49,36,171,1464,1257,444,35.3221957
Maroubra - West,500,125,1252,538,591,1651,0,407,240,217,1343,6866,5306,1877,35.37504712
Karrinyup - Gwelup - Carine,814,509,3348,1517,1771,4157,3,646,446,480,4037,17711,13194,4671,35.40245566
Melba,174,109,477,250,297,631,4,113,82,52,602,2799,2145,760,35.43123543
West Footscray - Tottenham,489,324,1555,662,848,1960,9,627,216,241,1633,8554,6680,2368,35.4491018
Trigg - North Beach - Watermans Bay,311,184,1347,617,703,1620,0,219,194,185,1232,6610,5193,1842,35.47082611
Oatley - Hurstville Grove,753,223,2052,937,1088,2520,4,532,420,256,2079,10863,8528,3028,35.5065666
Macarthur,70,49,252,123,181,304,0,43,20,10,244,1298,1044,371,35.53639847
North Ryde - East Ryde,757,199,1943,822,990,2410,0,629,411,272,2066,10495,8157,2899,35.54002697
Moorooka,510,270,1634,641,1070,2071,4,380,200,190,1564,8530,6776,2414,35.6257379
Putney,231,57,737,330,359,831,0,167,166,81,759,3717,2877,1025,35.62738964
Research - North Warrandyte,370,225,1073,573,698,1356,0,268,107,105,1287,6073,4681,1668,35.63341166
Riverton - Shelley - Rossmoyne,621,258,1999,832,972,2684,0,439,276,351,1915,10342,8076,2878,35.63645369
Giralang,204,119,479,269,347,625,0,147,63,66,647,2963,2250,802,35.64444444
Castle Hill - North,706,208,1893,952,936,2380,3,401,365,223,2063,10131,7845,2807,35.78075207
Scullin,179,78,410,172,283,574,0,102,60,57,533,2452,1862,667,35.8216971
Rivett,171,126,479,245,279,653,0,136,72,62,633,2855,2160,776,35.92592593
Five Dock - Abbotsford,1168,416,3287,1520,1613,3682,4,1145,720,485,3167,17209,13557,4871,35.92977797
Kedron - Gordon Park,602,349,2284,937,1345,2768,0,465,224,247,2326,11554,8981,3235,36.0204877
Fannie Bay - The Gardens,178,106,458,229,338,569,0,109,68,109,426,2590,2055,742,36.10705596
Manning - Waterford,556,269,1650,672,735,2302,3,389,259,398,1624,8866,6844,2475,36.16306254
Bull Creek,357,204,1160,538,560,1528,3,250,161,296,1064,6114,4754,1721,36.20109382
Larrakeyah,145,84,503,213,359,589,3,66,64,68,410,2499,2021,732,36.21969322
Preston - West,584,360,1817,717,903,2200,9,783,254,285,1914,9813,7614,2761,36.26214867
Macedon,175,126,515,271,362,613,0,119,59,113,664,3023,2246,816,36.33125557
Mitcham (Vic.),727,492,2484,1154,1320,2948,5,712,358,297,2678,13167,10192,3703,36.33241758
Essendon - Aberfeldie,1305,776,4605,1926,2210,5705,3,1296,552,599,3924,22901,18378,6686,36.38045489
Hughesdale,354,160,1096,418,461,1304,0,440,180,138,1141,5697,4418,1610,36.44182888
Page,169,93,415,201,237,549,0,119,74,181,415,2453,1857,677,36.45665051
Truganina,1116,249,1910,1153,1261,2496,9,476,301,291,5175,14430,8964,3275,36.535029
Stirling,137,61,329,142,179,403,0,131,62,56,340,1837,1441,527,36.57182512
Jindalee - Mount Ommaney,397,185,1270,559,700,1600,0,189,159,178,1265,6507,5064,1852,36.57187994
Kaleen,464,274,1063,488,651,1461,4,324,191,132,1196,6249,4921,1801,36.59825239
Sydenham - Tempe - St Peters,466,164,1242,530,615,1520,4,352,208,143,1063,6313,5107,1872,36.65557079
Newtown (Vic.),482,322,1744,795,950,2024,0,466,165,239,1774,8959,6946,2548,36.68298301
Parklea - Kellyville Ridge,1776,390,4479,2157,2473,5363,5,850,618,391,8050,26554,18113,6645,36.68635786
Baulkham Hills (West) - Bella Vista,1293,318,3238,1558,1654,3983,0,618,560,302,3611,17130,13217,4849,36.6875993
Westlake,252,111,764,348,387,996,0,120,83,48,748,3866,3070,1127,36.71009772
Nicholls,505,219,1038,564,537,1512,0,255,165,102,1205,6101,4794,1762,36.75427618
Scarborough,577,370,2493,1119,1579,2598,0,330,284,273,1824,11455,9358,3440,36.75999145
Merewether - The Junction,767,311,2593,1129,1518,2717,9,569,342,277,2276,12511,9958,3671,36.8648323
Blackwood,656,417,2082,992,1182,2531,4,388,295,196,2181,10924,8547,3155,36.91353691
Forestville - Killarney Heights,743,250,2065,946,908,2481,3,503,369,282,2688,11247,8277,3058,36.94575329
Castle Hill - Central,456,113,1182,584,567,1418,7,223,189,144,1364,6239,4731,1751,37.01120271
Burwood - Croydon,1201,293,3054,1164,986,3781,0,1157,649,380,2515,15180,12285,4548,37.02075702
Ashwood - Chadstone,857,379,2612,1085,1179,2988,3,895,390,406,2690,13481,10385,3848,37.05344247
McKellar,162,105,444,168,252,580,4,140,62,46,446,2409,1917,711,37.08920188
Lenah Valley - Mount Stuart,448,264,1482,559,845,1777,8,355,171,195,1374,7475,5906,2194,37.14866238
Moncrieff,8,0,11,13,7,10,0,0,3,4,27,82,51,19,37.25490196
Castle Hill - East,350,89,890,398,318,1088,6,263,168,564,705,4834,3565,1329,37.27910238
Coburg,1443,831,4093,1535,1858,4662,7,1860,728,584,3801,21405,17020,6367,37.40893067
Hendra,227,115,820,341,357,1028,0,130,89,93,819,4016,3104,1162,37.43556701
Mount Waverley - South,1044,422,2680,1172,1117,3323,0,918,369,417,2644,14112,11051,4146,37.51696679
Holland Park West,296,178,1115,427,612,1274,0,226,103,122,1005,5358,4231,1589,37.5561333
Wentworthville - Westmead,973,168,1687,699,754,2259,4,638,348,360,2339,10220,7521,2828,37.60138279
Castle Hill - South,553,165,1539,747,694,1724,0,275,301,148,1737,7886,6001,2257,37.61039827
Gungahlin,384,131,749,423,421,1016,0,119,94,68,1031,4440,3341,1264,37.83298414
Morningside - Seven Hills,531,351,2183,924,1249,2257,3,356,219,204,1893,10172,8075,3065,37.95665635
Nightcliff,202,101,527,206,386,554,4,132,70,83,486,2750,2181,830,38.05593764
Fisher,191,115,464,249,267,570,0,105,67,64,586,2673,2023,770,38.06228374
Thirroul - Austinmer - Coalcliff,840,321,1819,906,1319,1941,3,435,234,227,2158,10209,7824,2980,38.08793456
Hornsby - West,660,229,1554,771,818,1761,6,344,264,233,1797,8435,6405,2443,38.1420765
Bateman,180,71,679,243,298,763,0,107,87,52,546,3036,2438,930,38.14602133
Glen Waverley - West,1071,365,2614,1104,910,3343,9,771,407,499,2277,13370,10594,4050,38.22918633
Carlingford,1754,439,4161,1790,1628,5138,8,896,796,543,4304,21458,16611,6354,38.25176088
Newport,913,520,2880,1151,1527,3053,10,861,351,396,3355,15015,11264,4313,38.29012784
Holland Park,418,244,1388,522,722,1592,3,317,147,181,1662,7196,5353,2050,38.29628246
Castle Hill - West,375,66,873,393,325,1070,0,167,156,89,1032,4544,3423,1314,38.38737949
Freshwater - Brookvale,1076,380,3444,1603,1760,3392,0,596,506,337,3608,16708,12763,4900,38.39222753
Bentleigh - McKinnon,1184,610,3604,1546,1454,4136,6,1051,472,468,3826,18347,14053,5398,38.41172703
Glen Waverley - East,1244,383,3123,1340,1082,3871,4,879,445,405,2696,15464,12363,4750,38.4210952
Hamilton (Qld),318,128,1114,437,512,1310,3,117,112,114,589,4759,4056,1560,38.46153846
Winthrop,283,136,1072,408,373,1290,0,155,155,95,888,4859,3876,1491,38.46749226
Kingsford,753,151,1751,599,666,2123,0,533,309,209,1499,8602,6894,2655,38.51174935
Waramanga,178,94,427,217,236,490,0,121,61,56,499,2369,1814,699,38.53362734
Maylands,524,294,1950,762,1058,2066,0,303,224,260,1298,8736,7178,2768,38.56227361
Beaumaris,692,397,2473,1150,887,2881,7,445,286,300,2265,11786,9221,3562,38.62921592
Jacka,42,7,86,43,53,106,0,9,9,11,185,544,348,135,38.79310345
Gladesville - Huntleys Point,927,280,2543,1124,1075,2570,6,661,468,313,2381,12352,9658,3750,38.82791468
Deua - Wadbilliga,0,0,7,4,4,4,0,3,0,0,0,18,18,7,38.88888889
Marrickville,1723,534,4421,1529,1703,4628,0,1609,965,670,3363,21142,17109,6678,39.03208837
Robertson,293,64,609,194,226,814,0,179,83,69,515,3058,2474,966,39.04607922
Footscray,782,396,2235,788,857,2520,10,774,362,325,1349,10402,8728,3413,39.104033
Mount Waverley - North,932,382,2335,998,906,2830,0,640,302,360,2014,11704,9330,3649,39.11039657
Maroubra - North,610,163,1591,588,649,1688,0,459,290,264,1447,7754,6043,2364,39.11964256
Fortitude Valley,299,114,1093,424,589,1135,0,102,89,96,179,4122,3847,1506,39.14738757
Booragoon,737,369,2557,1047,1044,2768,3,502,323,291,2119,11764,9354,3663,39.15971777
Albion,128,88,514,191,241,571,0,75,53,50,298,2205,1857,730,39.31071621
Box Hill North,940,529,2647,1119,1103,2987,9,741,369,344,2696,13479,10439,4116,39.42906409
St Lucia,819,160,1532,327,310,3045,0,66,93,107,643,7105,6355,2511,39.51219512
Williamstown,984,529,2601,1057,1170,3016,3,728,308,358,2658,13406,10390,4114,39.59576516
Kensington (NSW),854,164,1871,579,581,2678,0,293,238,197,1238,8689,7254,2889,39.82630273
Blackburn,1190,680,3511,1482,1406,3679,11,946,452,555,3586,17491,13350,5381,40.3071161
Parramatta - Rosehill,1404,203,2305,1058,905,2797,6,544,468,394,2830,12916,9692,3912,40.36318613
Homebush,795,154,1745,670,598,2089,4,337,271,172,1728,8566,6666,2694,40.4140414
Ascot,290,121,977,380,372,1060,3,131,100,99,688,4220,3433,1388,40.43110982
Moonee Ponds,788,463,2552,962,995,2558,4,756,312,410,2044,11841,9387,3803,40.51347608
Como,696,372,2562,913,1057,2697,3,377,284,268,1423,10648,8957,3630,40.52696215
Box Hill,893,448,2628,1055,953,2709,9,743,346,458,2252,12489,9779,3969,40.58697208
Hampton,1070,527,3063,1313,1017,3315,3,806,354,355,3119,14944,11470,4660,40.6277245
Seventeen Mile Rocks - Sinnamon Park,600,211,1665,669,728,1821,0,205,188,405,1874,8371,6092,2476,40.64346684
East Brisbane,293,148,1046,378,452,1091,3,147,96,125,602,4383,3656,1487,40.67286652
Point Cook - South,778,175,1430,737,807,1551,0,225,159,127,3327,9307,5853,2383,40.71416368
Aldgate - Stirling,1137,598,3261,1456,1573,3370,5,490,369,300,3318,15886,12268,4996,40.72383437
The Gap,1038,521,2950,1282,1299,3318,0,375,283,301,3168,14538,11069,4509,40.73538712
Tarragindi,629,346,1899,683,952,2094,0,281,164,194,2238,9481,7049,2874,40.77174067
Belair,339,147,880,391,389,969,0,147,88,99,683,4123,3341,1366,40.88596229
Woolloongabba,243,124,902,256,404,937,0,138,88,62,451,3611,3098,1269,40.96191091
Bonner,522,126,857,456,499,980,0,140,87,40,1925,5637,3672,1505,40.98583878
Ashfield,1470,407,3408,1237,1182,3562,3,1009,606,533,2481,15898,12884,5285,41.01986961
Chullora,41,10,125,51,39,131,0,19,15,11,161,601,429,176,41.02564103
Wooloowin - Lutwyche,497,255,1811,603,739,1875,3,295,150,170,1377,7794,6247,2563,41.02769329
Hobart,496,226,1471,484,590,1665,7,253,142,192,550,6080,5338,2193,41.08280255
Duffy,245,145,507,221,276,595,0,117,71,44,663,2887,2180,897,41.14678899
Kangaroo Point,460,180,1464,521,649,1563,0,134,135,107,324,5540,5109,2104,41.18222744
Balmoral,248,131,761,292,374,794,0,105,69,54,772,3594,2768,1140,41.1849711
Camp Hill,585,310,2093,705,956,2123,5,316,171,165,2375,9794,7254,2988,41.191067
Yarraville,790,488,2699,905,1103,2477,9,843,317,262,2587,12479,9630,3977,41.298027
Ascot Vale,841,476,2578,962,1002,2472,4,712,359,292,2368,12063,9403,3895,41.42295012
